 
****************************************
Report : cell
Design : mem_system
Version: B-2008.09-SP3
Date   : Wed Apr 20 23:00:45 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
SM_Flops[0]               dff_218                         14.548300 h, n
U333                      AND2X2          gscl45nm        2.815800  
U334                      INVX1           gscl45nm        1.407900  
U335                      AND2X2          gscl45nm        2.815800  
U336                      INVX1           gscl45nm        1.407900  
U337                      INVX1           gscl45nm        1.407900  
U338                      INVX1           gscl45nm        1.407900  
U339                      INVX1           gscl45nm        1.407900  
U340                      AND2X1          gscl45nm        2.346500  
U341                      INVX1           gscl45nm        1.407900  
U342                      INVX1           gscl45nm        1.407900  
U343                      INVX1           gscl45nm        1.407900  
U344                      AND2X1          gscl45nm        2.346500  
U345                      INVX1           gscl45nm        1.407900  
U346                      AND2X1          gscl45nm        2.346500  
U347                      INVX1           gscl45nm        1.407900  
U348                      AND2X1          gscl45nm        2.346500  
U349                      INVX1           gscl45nm        1.407900  
U350                      AND2X1          gscl45nm        2.346500  
U351                      INVX1           gscl45nm        1.407900  
U352                      AND2X1          gscl45nm        2.346500  
U353                      INVX1           gscl45nm        1.407900  
U354                      AND2X1          gscl45nm        2.346500  
U355                      INVX1           gscl45nm        1.407900  
U356                      AND2X1          gscl45nm        2.346500  
U357                      INVX1           gscl45nm        1.407900  
U358                      AND2X1          gscl45nm        2.346500  
U359                      INVX1           gscl45nm        1.407900  
U360                      AND2X1          gscl45nm        2.346500  
U361                      INVX1           gscl45nm        1.407900  
U362                      AND2X1          gscl45nm        2.346500  
U363                      INVX1           gscl45nm        1.407900  
U364                      AND2X1          gscl45nm        2.346500  
U365                      INVX1           gscl45nm        1.407900  
U366                      OR2X2           gscl45nm        2.815800  
U367                      INVX1           gscl45nm        1.407900  
U368                      AND2X1          gscl45nm        2.346500  
U369                      INVX1           gscl45nm        1.407900  
U370                      AND2X1          gscl45nm        2.346500  
U371                      INVX1           gscl45nm        1.407900  
U372                      AND2X1          gscl45nm        2.346500  
U373                      INVX1           gscl45nm        1.407900  
U374                      AND2X1          gscl45nm        2.346500  
U375                      INVX1           gscl45nm        1.407900  
U376                      AND2X1          gscl45nm        2.346500  
U377                      INVX1           gscl45nm        1.407900  
U378                      AND2X1          gscl45nm        2.346500  
U379                      INVX1           gscl45nm        1.407900  
U380                      AND2X1          gscl45nm        2.346500  
U381                      INVX1           gscl45nm        1.407900  
U382                      AND2X1          gscl45nm        2.346500  
U383                      INVX1           gscl45nm        1.407900  
U384                      AND2X1          gscl45nm        2.346500  
U385                      INVX1           gscl45nm        1.407900  
U386                      AND2X1          gscl45nm        2.346500  
U387                      INVX1           gscl45nm        1.407900  
U388                      AND2X1          gscl45nm        2.346500  
U389                      INVX1           gscl45nm        1.407900  
U390                      AND2X1          gscl45nm        2.346500  
U391                      INVX1           gscl45nm        1.407900  
U392                      AND2X1          gscl45nm        2.346500  
U393                      INVX1           gscl45nm        1.407900  
U394                      AND2X1          gscl45nm        2.346500  
U395                      INVX1           gscl45nm        1.407900  
U396                      AND2X1          gscl45nm        2.346500  
U397                      INVX1           gscl45nm        1.407900  
U398                      AND2X1          gscl45nm        2.346500  
U399                      INVX1           gscl45nm        1.407900  
U400                      AND2X2          gscl45nm        2.815800  
U401                      INVX1           gscl45nm        1.407900  
U402                      OR2X1           gscl45nm        2.346500  
U403                      INVX1           gscl45nm        1.407900  
U404                      OR2X1           gscl45nm        2.346500  
U405                      INVX1           gscl45nm        1.407900  
U406                      AND2X1          gscl45nm        2.346500  
U407                      INVX1           gscl45nm        1.407900  
U408                      AND2X1          gscl45nm        2.346500  
U409                      INVX1           gscl45nm        1.407900  
U410                      AND2X1          gscl45nm        2.346500  
U411                      INVX1           gscl45nm        1.407900  
U412                      AND2X1          gscl45nm        2.346500  
U413                      INVX1           gscl45nm        1.407900  
U414                      AND2X1          gscl45nm        2.346500  
U415                      INVX1           gscl45nm        1.407900  
U416                      AND2X1          gscl45nm        2.346500  
U417                      INVX1           gscl45nm        1.407900  
U418                      INVX1           gscl45nm        1.407900  
U419                      BUFX2           gscl45nm        2.346500  
U420                      AND2X1          gscl45nm        2.346500  
U421                      INVX1           gscl45nm        1.407900  
U422                      AND2X2          gscl45nm        2.815800  
U423                      INVX1           gscl45nm        1.407900  
U424                      AND2X1          gscl45nm        2.346500  
U425                      INVX1           gscl45nm        1.407900  
U426                      AND2X1          gscl45nm        2.346500  
U427                      INVX1           gscl45nm        1.407900  
U428                      INVX1           gscl45nm        1.407900  
U429                      AND2X1          gscl45nm        2.346500  
U430                      INVX1           gscl45nm        1.407900  
U431                      AND2X1          gscl45nm        2.346500  
U432                      INVX1           gscl45nm        1.407900  
U433                      AND2X2          gscl45nm        2.815800  
U434                      INVX1           gscl45nm        1.407900  
U435                      BUFX2           gscl45nm        2.346500  
U436                      INVX1           gscl45nm        1.407900  
U437                      OR2X1           gscl45nm        2.346500  
U438                      INVX1           gscl45nm        1.407900  
U439                      INVX1           gscl45nm        1.407900  
U440                      INVX1           gscl45nm        1.407900  
U441                      INVX1           gscl45nm        1.407900  
U442                      BUFX2           gscl45nm        2.346500  
U443                      INVX1           gscl45nm        1.407900  
U444                      AND2X1          gscl45nm        2.346500  
U445                      INVX1           gscl45nm        1.407900  
U446                      AND2X2          gscl45nm        2.815800  
U447                      INVX1           gscl45nm        1.407900  
U448                      INVX1           gscl45nm        1.407900  
U449                      INVX1           gscl45nm        1.407900  
U450                      BUFX2           gscl45nm        2.346500  
